Image                | Raw      | Norm     | Thresh   | Decision
023.png              | 0.7820   | 0.7482   | 0.3      | REJECT
024.png              | 0.7310   | 0.6994   | 0.3      | REJECT
025.png              | 0.7112   | 0.6805   | 0.3      | REJECT
026.png              | 0.8594   | 0.8223   | 0.3      | REJECT
027.png              | 0.6718   | 0.6428   | 0.3      | REJECT
000.png              | 0.6923   | 0.6624   | 0.3      | REJECT
001.png              | 0.6573   | 0.6289   | 0.3      | REJECT
002.png              | 0.7070   | 0.6764   | 0.3      | REJECT
003.png              | 0.6268   | 0.5997   | 0.3      | REJECT
004.png              | 0.7106   | 0.6799   | 0.3      | REJECT
005.png              | 0.7734   | 0.7399   | 0.3      | REJECT
006.png              | 0.7653   | 0.7323   | 0.3      | REJECT
007.png              | 0.8323   | 0.7963   | 0.3      | REJECT
008.png              | 0.7053   | 0.6749   | 0.3      | REJECT
009.png              | 0.7524   | 0.7199   | 0.3      | REJECT
010.png              | 0.6816   | 0.6522   | 0.3      | REJECT
011.png              | 0.7769   | 0.7433   | 0.3      | REJECT
012.png              | 0.8009   | 0.7663   | 0.3      | REJECT
013.png              | 0.6646   | 0.6358   | 0.3      | REJECT
014.png              | 0.6912   | 0.6613   | 0.3      | REJECT
015.png              | 0.6606   | 0.6320   | 0.3      | REJECT
016.png              | 0.7529   | 0.7204   | 0.3      | REJECT
017.png              | 0.7123   | 0.6815   | 0.3      | REJECT
018.png              | 0.6989   | 0.6687   | 0.3      | REJECT
019.png              | 0.6536   | 0.6254   | 0.3      | REJECT
020.png              | 0.6814   | 0.6520   | 0.3      | REJECT
021.png              | 0.7403   | 0.7083   | 0.3      | REJECT
022.png              | 0.6860   | 0.6563   | 0.3      | REJECT
023.png              | 0.7563   | 0.7236   | 0.3      | REJECT
024.png              | 0.6731   | 0.6440   | 0.3      | REJECT
025.png              | 0.6560   | 0.6276   | 0.3      | REJECT
026.png              | 0.7504   | 0.7180   | 0.3      | REJECT
000.png              | 0.7580   | 0.7253   | 0.3      | REJECT
001.png              | 0.8432   | 0.8068   | 0.3      | REJECT
002.png              | 0.7003   | 0.6700   | 0.3      | REJECT
003.png              | 0.6880   | 0.6582   | 0.3      | REJECT
004.png              | 0.7275   | 0.6960   | 0.3      | REJECT
